"Date","Obs_2_1","Obs_2_2","Obs_2_3","Obs_2_4","Obs_2_5","Obs_2_6","Obs_2_7","Obs_2_8","Obs_2_9","Obs_2_10","Obs_2_11","Obs_2_12","Obs_2_13","Obs_2_14","Obs_2_15","Obs_2_16"
2009-10-25,0.948430220833333,NA,1.40346615279167,NA,1.55749995833333,1.35256945833333,1.56326388879167,4.29598320833333,3.27541670833333,6.340416625,NA,8.19989325,9.98479166666667,23.2423604166667,26.67013875,76.95076375
2009-10-26,0.959223708333333,NA,1.39412679166667,NA,1.55118057083333,1.43659725,1.496875,4.38854429166667,3.25458333333333,6.22409720833333,NA,8.806976,11.69013875,28.7569441666667,37.9749995833333,89.29402625
2009-10-27,0.903984104166667,NA,1.384776625,NA,1.49569445833333,1.38375004166667,1.43583333333333,4.35769054166667,3.178888875,6.06236120833333,NA,8.14037533333333,11.9256954166667,25.8854170833333,38.38125,83.6582620833333
2009-10-28,0.882345078571429,NA,1.36902633333333,NA,1.43,1.36506941666667,1.40715277783333,4.222409,3.07375,5.949236125,NA,7.95586979166667,11.2430558333333,23.75277875,40.01111125,88.2134
2009-10-29,0.876680166666667,NA,1.34405929166667,NA,1.410625,1.32687508333333,1.39388888891667,4.222409,3,5.81569445833333,NA,7.93902370833333,10.9158333333333,22.868055,36.6125004166667,84.4039591666667
2009-10-30,0.843712045833333,NA,1.33166720833333,NA,1.340625,1.310277875,1.37227777779167,4.222409,2.95125,5.569236125,NA,7.904995125,10.7995141666667,29.45555625,38.54930625,84.0963845833333
2009-10-31,0.817987425,NA,1.30098470833333,NA,1.331875,1.28784720833333,1.36249999995833,4.222409,2.91,5.71527779166667,NA,7.62984241666667,9.468888875,28.61527875,36.2326395833333,88.2638866666667
2009-11-01,0.801855183333333,NA,1.31621091666667,NA,1.279375,1.25749995833333,1.367986111125,4.05508420833333,2.88875,5.7268055,NA,7.247997875,9.13993054166667,20.2076383333333,28.7041670833333,74.4386808333333
2009-11-02,0.822196183333333,NA,1.343904486125,NA,1.3075,1.374791625,1.37180555554167,4.10030716666667,2.93486108333333,5.806666625,NA,7.43257766666667,10.683125125,23.91736125,37.02638875,86.6856254166667
2009-11-03,0.753473479166667,NA,1.37558108333333,NA,1.31125,1.376875,1.41388888891667,4.10030716666667,2.99625,6.08701391666667,NA,7.48558458333333,10.7085419583333,25.2430558333333,37.6159720833333,88.5677041666667
2009-11-04,0.78973165,NA,1.34451345833333,NA,1.250625,1.318125,1.293263888875,3.93072125,2.91,5.63965283333333,NA,7.141306,10.1970829166667,24.3472225,35.32638875,78.28990875
2009-11-05,0.749847841666667,NA,1.311062125,NA,1.196388875,1.286736125,1.322430555625,3.896804,2.7275,5.656388875,NA,7.083871875,9.861875125,29.2659725,39.8374991666667,85.7731279166667
2009-11-06,0.760288783333333,NA,1.282264125,NA,1.17875,1.30652783333333,1.32534722225,3.896804,2.760625,5.62006941666667,NA,6.956611,9.68638904166667,24.37638875,34.3090279166667,86.4294775
2009-11-07,0.749105633333333,NA,1.27611733333333,NA,1.16,1.28208329166667,1.346666666625,3.896804,2.65125,5.619583375,NA,7.04632,8.68291679166667,23.32083375,32.85763875,68.8621520833333
